Ticket_ID,Department,Issue_Type,Priority,Created_Date,Assigned_Team,Resolution_Time_Hours,SLA_Hours,Status,Workflow_Type
1031,Finance,Data Error,Low,2025-03-21,DataOps,16,24,Open,User Access
1032,Customer Support,Workflow Delay,High,2025-03-06,Process Team,55,36,Closed,Process
1033,HR,Permission Issue,Low,2025-01-23,DataOps,17,48,Closed,Process
1034,Marketing,System Bug,High,2025-01-23,Analytics Team,24,12,Closed,User Access
1035,Customer Support,Workflow Delay,Medium,2025-03-23,DataOps,1,24,Closed,System
1036,Compliance,Permission Issue,High,2025-04-16,DevOps,45,12,Closed,Process
1037,Compliance,Access Issue,Critical,2025-03-14,Process Team,27,24,Closed,User Access
1038,Customer Support,Data Error,High,2025-03-01,DevOps,25,24,Open,Automation
1039,Sales,Data Error,Low,2025-03-03,Process Team,66,24,Closed,System
1040,Compliance,Workflow Delay,Medium,2025-04-21,DevOps,19,24,Closed,System
1041,Compliance,Permission Issue,High,2025-02-16,DataOps,12,48,Closed,User Access
1042,Finance,Access Issue,Low,2025-04-21,Analytics Team,21,48,Closed,Automation
1043,Finance,Reporting Failure,High,2025-03-02,Process Team,3,48,Closed,Reporting
1044,Finance,Data Error,Medium,2025-01-24,DevOps,5,12,Closed,Process
1045,HR,Permission Issue,Medium,2025-03-04,DevOps,62,48,Closed,User Access
1046,HR,Data Error,Critical,2025-02-26,Process Team,58,24,Closed,Reporting
1047,Engineering,Integration Error,Low,2025-02-14,DevOps,58,12,Closed,Process
1048,Marketing,Permission Issue,Medium,2025-03-02,DataOps,27,24,Open,User Access
1049,Compliance,Integration Error,Medium,2025-02-05,Analytics Team,27,48,Closed,Reporting
1050,Marketing,Permission Issue,High,2025-04-09,IT Support,50,48,Open,Process
1051,Marketing,Permission Issue,Low,2025-02-23,IT Support,29,8,Closed,Automation
1052,Customer Support,System Bug,Critical,2025-03-23,DevOps,67,36,Closed,Reporting
1053,Marketing,Integration Error,Low,2025-03-22,Process Team,56,24,Closed,Process
1054,HR,Permission Issue,High,2025-04-26,IT Support,29,36,Closed,Automation
1055,Sales,Data Error,Critical,2025-04-30,Process Team,72,8,Closed,Process
1056,Marketing,Permission Issue,Low,2025-01-18,DevOps,26,36,Open,User Access
1057,Compliance,Access Issue,Critical,2025-04-21,IT Support,11,8,Closed,System
1058,Operations,System Bug,Critical,2025-01-01,Process Team,54,12,Closed,System
1059,HR,Access Issue,Critical,2025-04-07,DataOps,49,48,Open,Reporting
1060,Customer Support,System Bug,Critical,2025-04-26,DevOps,5,36,Closed,Automation
1061,Operations,Data Error,Critical,2025-01-26,IT Support,53,36,Open,Automation
1062,Customer Support,System Bug,Medium,2025-04-02,IT Support,2,48,Closed,Reporting
1063,Marketing,Access Issue,Critical,2025-03-09,Process Team,45,36,Closed,User Access
1064,Compliance,Integration Error,Medium,2025-01-28,DevOps,52,8,Open,Automation
1065,Finance,Workflow Delay,High,2025-01-12,IT Support,12,36,Closed,Process
1066,HR,Integration Error,Medium,2025-04-03,DataOps,3,12,Closed,Automation
1067,Sales,System Bug,Critical,2025-02-14,Process Team,17,24,Closed,System
1068,Engineering,Workflow Delay,Medium,2025-01-15,DevOps,19,8,Open,Automation
1069,Engineering,Reporting Failure,High,2025-03-17,IT Support,46,24,Open,Automation
1070,Marketing,Integration Error,Low,2025-01-18,DataOps,35,36,Closed,Process
1071,Sales,Access Issue,Medium,2025-01-10,Process Team,52,24,Closed,User Access
1072,Customer Support,Workflow Delay,Critical,2025-04-17,IT Support,16,8,Open,User Access
1073,Engineering,Reporting Failure,High,2025-03-25,DevOps,29,24,Closed,Automation
1074,Customer Support,Integration Error,High,2025-01-18,IT Support,64,12,Open,Process
1075,Customer Support,Workflow Delay,Critical,2025-03-15,IT Support,51,24,Closed,Process
1076,Compliance,Access Issue,Low,2025-02-15,DataOps,41,8,Open,System
1077,Engineering,Access Issue,Low,2025-03-03,IT Support,66,8,Closed,Automation
1078,Marketing,Permission Issue,Low,2025-04-21,DataOps,68,24,Open,User Access
1079,Engineering,Access Issue,High,2025-01-06,Analytics Team,34,24,Open,Process
1080,Sales,Workflow Delay,Critical,2025-02-03,IT Support,21,36,Open,System
1081,Compliance,Data Error,Low,2025-01-05,Process Team,40,36,Closed,Process
1082,Operations,Permission Issue,Critical,2025-04-09,DevOps,67,36,Closed,User Access
1083,Finance,System Bug,Low,2025-01-19,DataOps,34,36,Closed,Reporting
1084,Operations,Integration Error,Low,2025-02-12,Analytics Team,38,24,Closed,Process
1085,HR,System Bug,Medium,2025-03-18,DataOps,3,36,Closed,System
1086,Engineering,Access Issue,High,2025-05-01,IT Support,2,48,Open,Process
1087,Operations,System Bug,Critical,2025-04-18,DevOps,52,36,Closed,Reporting
1088,HR,Access Issue,Critical,2025-01-08,Analytics Team,68,48,Closed,Process
1089,Operations,Access Issue,Medium,2025-01-31,DataOps,35,36,Closed,Reporting
1090,Operations,Data Error,High,2025-02-25,Process Team,14,24,Closed,Process
1091,Sales,Permission Issue,High,2025-02-13,DataOps,12,8,Open,System
1092,Compliance,Access Issue,Medium,2025-03-05,DataOps,37,8,Closed,Process
1093,Marketing,Data Error,High,2025-03-25,DevOps,36,48,Open,Process
1094,Customer Support,Data Error,Low,2025-03-16,DataOps,46,12,Closed,Automation
1095,Sales,System Bug,Critical,2025-04-04,IT Support,62,36,Closed,System
1096,Marketing,Reporting Failure,Low,2025-04-25,DataOps,60,48,Closed,Automation
1097,Marketing,Data Error,High,2025-04-13,Analytics Team,30,8,Open,Process
1098,Finance,System Bug,Critical,2025-04-14,Analytics Team,58,36,Closed,Automation
1099,Customer Support,System Bug,Low,2025-01-02,DataOps,63,36,Closed,Automation
1100,Operations,Access Issue,Low,2025-01-04,Analytics Team,34,12,Closed,Process
1101,HR,System Bug,Medium,2025-04-01,DataOps,7,12,Closed,User Access
1102,Compliance,Workflow Delay,High,2025-02-28,DataOps,45,12,Closed,Automation
1103,HR,Integration Error,Critical,2025-03-18,Analytics Team,3,24,Closed,User Access
1104,HR,Data Error,Medium,2025-04-12,IT Support,4,24,Closed,User Access
1105,Compliance,System Bug,Critical,2025-03-31,DevOps,70,36,Closed,Process
1106,Operations,Reporting Failure,High,2025-02-15,DevOps,3,48,Closed,Reporting
1107,Operations,Permission Issue,Medium,2025-02-11,DevOps,4,36,Open,Automation
1108,Customer Support,System Bug,Critical,2025-02-16,Process Team,22,36,Closed,System
1109,Compliance,Reporting Failure,Medium,2025-03-26,Analytics Team,51,48,Open,User Access
1110,Sales,Data Error,Critical,2025-04-08,Process Team,20,48,Closed,User Access
1111,Sales,Data Error,High,2025-02-27,Analytics Team,49,12,Closed,System
1112,Finance,Data Error,Medium,2025-04-09,DevOps,17,36,Open,Automation
1113,Compliance,Workflow Delay,Medium,2025-01-18,DevOps,7,8,Open,Process
1114,HR,Data Error,Medium,2025-04-02,Analytics Team,7,12,Open,User Access
1115,Customer Support,System Bug,Medium,2025-02-12,IT Support,11,12,Closed,Process
1116,Engineering,Workflow Delay,Medium,2025-01-07,DataOps,18,24,Closed,System
1117,Operations,System Bug,Critical,2025-01-02,IT Support,27,24,Closed,System
1118,Engineering,Permission Issue,Critical,2025-04-07,DevOps,63,24,Closed,System
1119,Operations,System Bug,High,2025-01-12,Analytics Team,48,24,Closed,Reporting
1120,Marketing,Integration Error,High,2025-01-22,IT Support,18,12,Closed,Process
1121,Finance,Data Error,Low,2025-02-11,DataOps,33,8,Closed,Reporting
1122,Sales,Permission Issue,High,2025-03-18,IT Support,61,36,Closed,Automation
1123,Sales,Workflow Delay,High,2025-02-17,DevOps,7,12,Open,Automation
1124,HR,Integration Error,Medium,2025-04-06,Process Team,65,8,Open,Automation
1125,Operations,Access Issue,Medium,2025-02-08,IT Support,48,24,Open,System
1126,Engineering,System Bug,Low,2025-04-29,IT Support,20,24,Closed,User Access
1127,Sales,System Bug,Critical,2025-04-10,DataOps,23,36,Closed,Automation
1128,Sales,Data Error,Medium,2025-01-05,DataOps,36,8,Closed,Process
1129,Sales,Access Issue,Low,2025-02-04,DataOps,46,24,Closed,User Access
1130,Engineering,Permission Issue,Medium,2025-03-11,DataOps,13,8,Closed,Automation
1131,HR,Workflow Delay,High,2025-01-09,DevOps,21,8,Closed,User Access
1132,Marketing,Data Error,Medium,2025-04-30,DataOps,32,12,Closed,System
1133,Marketing,System Bug,Medium,2025-02-26,Process Team,3,12,Closed,User Access
1134,HR,Data Error,High,2025-03-25,Process Team,61,36,Open,Process
1135,Finance,System Bug,Medium,2025-03-31,DataOps,50,36,Closed,Reporting
1136,Operations,System Bug,Medium,2025-03-10,DevOps,12,8,Closed,Process
1137,Engineering,Data Error,Critical,2025-01-28,DataOps,58,8,Open,System
1138,Compliance,Access Issue,Critical,2025-04-25,DevOps,22,12,Open,Process
1139,Engineering,Integration Error,High,2025-02-28,Process Team,64,8,Closed,Automation
1140,Compliance,System Bug,Critical,2025-02-10,Process Team,2,36,Open,Automation
1141,Operations,Access Issue,Critical,2025-04-21,IT Support,2,24,Open,Process
1142,Finance,Permission Issue,Low,2025-04-14,Analytics Team,23,8,Closed,Process
1143,HR,Integration Error,Low,2025-01-09,Analytics Team,31,36,Closed,Process
1144,Sales,Access Issue,Low,2025-03-05,DataOps,26,24,Closed,Process
1145,Finance,Permission Issue,Low,2025-04-28,IT Support,58,36,Closed,Process
1146,Compliance,Reporting Failure,Critical,2025-02-25,Process Team,8,36,Open,User Access
1147,Sales,Data Error,High,2025-01-27,IT Support,55,12,Closed,User Access
1148,Customer Support,System Bug,Low,2025-03-16,IT Support,34,12,Closed,System
1149,Customer Support,Data Error,High,2025-04-25,Analytics Team,29,8,Closed,User Access
1150,Finance,Permission Issue,Medium,2025-01-09,IT Support,27,24,Closed,User Access
1151,Engineering,Reporting Failure,High,2025-04-17,DataOps,59,24,Closed,System
1152,Finance,Reporting Failure,Critical,2025-01-23,DevOps,2,8,Open,Process
1153,Compliance,Workflow Delay,High,2025-01-12,IT Support,55,12,Closed,Automation
1154,HR,System Bug,Low,2025-02-27,Analytics Team,63,8,Open,System
1155,HR,Permission Issue,Critical,2025-02-24,DevOps,39,36,Open,System
1156,Sales,Integration Error,Critical,2025-01-09,DevOps,9,8,Closed,Automation
1157,Marketing,System Bug,Low,2025-03-24,DataOps,30,12,Closed,Process
1158,Marketing,Access Issue,Medium,2025-04-21,IT Support,48,8,Open,Automation
1159,Sales,Workflow Delay,High,2025-04-02,IT Support,1,36,Closed,Process
1160,Operations,Permission Issue,Low,2025-02-25,Process Team,26,48,Open,Process
1161,Operations,Access Issue,Critical,2025-04-26,Process Team,48,48,Closed,Reporting
1162,HR,Workflow Delay,Low,2025-01-11,Analytics Team,27,8,Open,Reporting
1163,HR,Workflow Delay,High,2025-04-30,DataOps,1,48,Closed,Reporting
1164,HR,Data Error,Medium,2025-03-29,DevOps,56,24,Closed,System
1165,Customer Support,System Bug,Low,2025-02-04,Process Team,1,8,Closed,Automation
1166,Marketing,Data Error,Medium,2025-01-29,DataOps,43,48,Closed,Automation
1167,HR,Integration Error,High,2025-03-08,DevOps,54,24,Open,Automation
1168,Marketing,Integration Error,High,2025-04-20,Process Team,57,8,Open,Reporting
1169,Compliance,Workflow Delay,Low,2025-04-01,Analytics Team,32,36,Open,User Access
1170,Engineering,Access Issue,Medium,2025-03-04,DevOps,29,36,Closed,Automation
1171,Finance,System Bug,High,2025-02-13,Analytics Team,46,12,Closed,System
1172,HR,Integration Error,Low,2025-04-28,DataOps,60,24,Closed,Automation
1173,Finance,System Bug,Low,2025-01-13,DevOps,32,24,Open,Reporting
1174,Finance,Access Issue,Low,2025-03-06,DataOps,57,36,Closed,System
1175,Customer Support,Data Error,High,2025-03-10,DataOps,40,12,Closed,User Access
1176,Operations,Workflow Delay,High,2025-01-11,Analytics Team,10,12,Closed,Automation
1177,HR,Reporting Failure,Medium,2025-03-10,Analytics Team,33,24,Closed,System
1178,Compliance,Integration Error,High,2025-01-26,DataOps,25,24,Open,Automation
1179,Operations,Reporting Failure,High,2025-01-10,Analytics Team,19,48,Closed,Process
1180,Customer Support,Access Issue,Medium,2025-03-31,IT Support,27,36,Closed,System
1181,Marketing,Permission Issue,Low,2025-04-27,Process Team,23,8,Open,Process
1182,Finance,System Bug,High,2025-04-25,DataOps,27,12,Closed,Process
1183,Customer Support,Integration Error,Low,2025-01-21,DataOps,48,8,Closed,User Access
1184,HR,System Bug,Low,2025-03-03,Analytics Team,71,36,Closed,Process
1185,Finance,System Bug,Low,2025-02-27,Process Team,59,48,Closed,Automation
1186,Finance,Access Issue,Medium,2025-01-07,Analytics Team,51,12,Closed,User Access
1187,HR,Reporting Failure,Low,2025-02-18,IT Support,38,12,Closed,System
1188,Sales,Access Issue,Critical,2025-03-09,Analytics Team,41,12,Closed,User Access
1189,Operations,Data Error,Critical,2025-03-11,DataOps,61,12,Closed,User Access
1190,Compliance,Workflow Delay,Medium,2025-01-05,Analytics Team,53,8,Closed,Process
1191,Finance,Access Issue,Critical,2025-02-05,IT Support,17,8,Open,User Access
1192,Marketing,Workflow Delay,High,2025-03-10,DevOps,56,12,Closed,Reporting
1193,Engineering,Workflow Delay,Low,2025-04-13,Analytics Team,10,24,Closed,Process
1194,Compliance,Integration Error,Medium,2025-01-12,Analytics Team,72,8,Closed,Process
1195,Engineering,Permission Issue,Low,2025-01-05,Process Team,7,36,Closed,User Access
1196,Sales,Access Issue,High,2025-01-17,DataOps,64,36,Closed,Reporting
1197,Marketing,Integration Error,High,2025-03-25,IT Support,17,12,Closed,Process
1198,Finance,Permission Issue,Medium,2025-04-17,DevOps,26,12,Closed,Reporting
1199,Operations,Integration Error,Medium,2025-01-12,Analytics Team,32,48,Closed,Automation
1200,Sales,System Bug,Critical,2025-03-29,DataOps,26,8,Closed,Process
1201,Sales,Reporting Failure,Critical,2025-01-10,Process Team,43,12,Closed,Reporting
1202,Customer Support,System Bug,Critical,2025-01-22,IT Support,56,12,Closed,Process
1203,HR,Reporting Failure,Critical,2025-04-26,DevOps,42,36,Closed,Automation
1204,Finance,Data Error,High,2025-02-26,IT Support,52,12,Closed,User Access
1205,Engineering,System Bug,Critical,2025-02-27,IT Support,18,36,Closed,System
1206,Marketing,Permission Issue,High,2025-01-06,DataOps,49,24,Closed,Process
1207,Operations,Reporting Failure,Low,2025-01-13,Analytics Team,4,48,Closed,System
1208,Engineering,Data Error,Medium,2025-04-16,Process Team,16,8,Closed,User Access
1209,Compliance,Integration Error,High,2025-02-15,Analytics Team,27,48,Closed,User Access
1210,Sales,Workflow Delay,Medium,2025-02-19,DevOps,5,48,Closed,Reporting
1211,Marketing,Reporting Failure,Critical,2025-04-01,Analytics Team,22,12,Closed,Process
1212,Sales,Permission Issue,Low,2025-01-22,Process Team,37,36,Closed,User Access
1213,Engineering,Reporting Failure,Medium,2025-03-11,DevOps,58,24,Open,Reporting
1214,HR,Permission Issue,Medium,2025-01-03,Process Team,29,12,Closed,Automation
1215,Compliance,Permission Issue,Medium,2025-01-13,IT Support,30,12,Closed,System
1216,Engineering,System Bug,Low,2025-02-11,IT Support,58,48,Open,Automation
1217,Customer Support,Reporting Failure,Critical,2025-01-22,DevOps,4,48,Closed,Process
1218,Finance,Reporting Failure,Medium,2025-02-10,DevOps,65,48,Closed,User Access
1219,Marketing,Permission Issue,High,2025-01-11,IT Support,24,8,Open,Reporting
1220,Sales,Reporting Failure,Medium,2025-04-15,Analytics Team,15,8,Closed,Process
1221,Compliance,Data Error,Low,2025-03-05,DataOps,71,12,Open,Automation
1222,Compliance,Reporting Failure,Medium,2025-02-01,Process Team,6,48,Open,User Access
1223,Engineering,System Bug,Critical,2025-04-25,Process Team,66,36,Closed,User Access
1224,Compliance,System Bug,Medium,2025-01-25,Process Team,14,8,Closed,Reporting
1225,Marketing,Reporting Failure,High,2025-01-25,IT Support,51,8,Closed,System
1226,Sales,Integration Error,Critical,2025-01-20,Process Team,48,24,Closed,Reporting
1227,Sales,System Bug,Low,2025-03-19,Analytics Team,35,8,Open,System
1228,Engineering,Access Issue,High,2025-03-08,Process Team,50,24,Closed,System
1229,Marketing,System Bug,High,2025-03-20,IT Support,52,24,Open,Process
1230,Compliance,Access Issue,Critical,2025-02-09,IT Support,25,8,Closed,System
1231,Sales,Permission Issue,Critical,2025-01-30,Process Team,12,12,Closed,Automation
1232,Customer Support,Reporting Failure,Medium,2025-04-17,Process Team,52,36,Open,Automation
1233,Sales,Reporting Failure,Critical,2025-04-23,DevOps,10,36,Closed,System
1234,HR,Permission Issue,Medium,2025-04-28,Process Team,64,36,Open,Process
1235,Sales,Access Issue,Medium,2025-04-24,IT Support,27,24,Closed,Reporting
1236,HR,System Bug,High,2025-01-13,DataOps,55,24,Closed,Process
1237,Finance,Permission Issue,Low,2025-04-29,DevOps,59,48,Closed,Automation
1238,Finance,Workflow Delay,Critical,2025-03-14,Analytics Team,53,8,Closed,Reporting
1239,Finance,Reporting Failure,High,2025-04-26,Process Team,34,8,Open,Reporting
1240,Finance,Permission Issue,Medium,2025-02-03,DevOps,11,24,Closed,User Access
1241,Finance,Data Error,Medium,2025-03-21,Process Team,54,8,Open,User Access
1242,HR,Permission Issue,Medium,2025-04-28,Analytics Team,37,48,Closed,System
1243,Engineering,Permission Issue,High,2025-03-08,DevOps,62,12,Closed,System
1244,Finance,System Bug,Critical,2025-04-10,Analytics Team,24,48,Open,Automation
1245,Finance,Permission Issue,High,2025-01-21,Analytics Team,35,24,Closed,Process
1246,Engineering,Reporting Failure,High,2025-03-13,DataOps,63,36,Closed,Process
1247,Operations,Permission Issue,Critical,2025-02-19,DevOps,36,8,Closed,Reporting
1248,Compliance,Access Issue,Low,2025-03-01,DevOps,19,8,Open,Process
1249,Finance,System Bug,High,2025-04-29,Analytics Team,46,48,Closed,Reporting
1250,Sales,Data Error,Critical,2025-02-10,IT Support,66,8,Closed,User Access
1251,Compliance,Permission Issue,Critical,2025-02-02,DataOps,65,8,Closed,Process
1252,Sales,Data Error,Medium,2025-01-23,Analytics Team,3,8,Closed,Reporting
1253,Compliance,Permission Issue,Medium,2025-03-28,Analytics Team,60,8,Closed,Automation
1254,Finance,Access Issue,Critical,2025-01-23,Process Team,32,12,Open,System
1255,Sales,Workflow Delay,Critical,2025-03-08,IT Support,63,36,Closed,Reporting
1256,Sales,Reporting Failure,High,2025-03-22,Process Team,62,48,Closed,Reporting
1257,Compliance,Workflow Delay,Medium,2025-03-20,Process Team,23,48,Closed,User Access
1258,Engineering,Permission Issue,Critical,2025-04-07,Process Team,4,12,Closed,Reporting
1259,Finance,Access Issue,Low,2025-03-24,Process Team,15,36,Closed,Reporting
1260,HR,Permission Issue,High,2025-03-21,DevOps,6,12,Closed,User Access
1261,Marketing,Workflow Delay,High,2025-04-12,Process Team,25,12,Closed,User Access
1262,Sales,Data Error,Low,2025-04-30,Analytics Team,40,12,Open,Automation
1263,Sales,Workflow Delay,High,2025-01-24,Process Team,44,8,Closed,Reporting
1264,Sales,Data Error,Low,2025-04-22,DevOps,28,12,Open,User Access
1265,HR,Reporting Failure,High,2025-04-01,DataOps,42,36,Closed,System
1266,Marketing,Permission Issue,High,2025-02-25,IT Support,45,12,Closed,Reporting
1267,Customer Support,System Bug,Low,2025-04-12,IT Support,51,8,Closed,Reporting
1268,Engineering,Reporting Failure,Low,2025-03-06,IT Support,44,24,Open,System
1269,Operations,System Bug,Critical,2025-03-30,DataOps,63,48,Closed,Automation
1270,Sales,Access Issue,Critical,2025-03-11,Process Team,37,8,Closed,System
1271,Engineering,Data Error,Critical,2025-03-08,Process Team,61,48,Closed,Automation
1272,HR,System Bug,High,2025-03-26,DataOps,59,24,Closed,Reporting
1273,Compliance,Reporting Failure,Critical,2025-03-19,DevOps,33,24,Closed,Process
1274,HR,Integration Error,Medium,2025-02-03,Process Team,7,36,Closed,Process
1275,Operations,Data Error,Critical,2025-04-20,IT Support,39,24,Closed,Process
1276,Sales,Integration Error,Low,2025-02-26,DevOps,41,8,Closed,Reporting
1277,HR,Access Issue,High,2025-02-18,Analytics Team,27,36,Closed,Process
1278,Sales,Permission Issue,Critical,2025-01-13,Analytics Team,69,12,Closed,Reporting
1279,Compliance,Permission Issue,Low,2025-02-06,IT Support,24,36,Closed,Automation
1280,HR,Reporting Failure,Critical,2025-03-14,IT Support,12,36,Closed,Automation
1281,Compliance,Integration Error,Medium,2025-02-25,IT Support,5,8,Closed,Automation
1282,Finance,Reporting Failure,Medium,2025-01-27,DataOps,47,48,Closed,System
1283,Compliance,Reporting Failure,Critical,2025-04-14,Analytics Team,38,48,Open,Reporting
1284,Customer Support,Access Issue,Critical,2025-03-02,Analytics Team,50,36,Closed,Automation
1285,HR,Integration Error,Critical,2025-04-12,DevOps,14,8,Closed,User Access
1286,Compliance,Permission Issue,Medium,2025-02-20,DataOps,8,24,Open,Process
1287,Compliance,Integration Error,High,2025-04-04,IT Support,44,12,Open,Reporting
1288,Finance,System Bug,Low,2025-04-19,DevOps,7,48,Open,Automation
1289,Engineering,System Bug,Medium,2025-02-09,DevOps,6,12,Open,User Access
1290,Sales,Access Issue,High,2025-03-21,IT Support,10,8,Open,System
1291,Engineering,Workflow Delay,High,2025-04-23,Process Team,72,48,Closed,Reporting
1292,Operations,Integration Error,High,2025-04-03,Analytics Team,59,24,Closed,System
1293,Sales,Permission Issue,Medium,2025-02-24,Process Team,28,36,Open,System
1294,Operations,Workflow Delay,Critical,2025-03-13,DevOps,14,48,Closed,System
1295,Compliance,Integration Error,Low,2025-02-28,Analytics Team,57,36,Closed,Automation
1296,Sales,Integration Error,High,2025-03-03,Analytics Team,40,48,Closed,User Access
1297,Operations,Workflow Delay,High,2025-01-07,Analytics Team,55,24,Closed,System
1298,Finance,System Bug,Medium,2025-04-28,IT Support,37,36,Closed,Process
1299,Operations,Data Error,Medium,2025-03-19,Analytics Team,9,24,Closed,User Access
1300,Finance,Data Error,High,2025-02-02,Analytics Team,39,8,Open,Reporting
1301,HR,Permission Issue,Low,2025-04-22,DataOps,11,24,Open,System
1302,Customer Support,Data Error,High,2025-02-03,IT Support,32,36,Open,System
1303,Operations,Permission Issue,Low,2025-01-14,IT Support,56,36,Closed,User Access
1304,Engineering,Integration Error,Critical,2025-03-09,Analytics Team,70,12,Closed,Automation
1305,Finance,Access Issue,Critical,2025-04-30,DevOps,1,12,Closed,Process
1306,Finance,Workflow Delay,Low,2025-03-11,DataOps,59,36,Closed,Process
1307,Engineering,Workflow Delay,Critical,2025-03-14,Process Team,15,36,Closed,User Access
1308,Sales,Permission Issue,Low,2025-04-15,Process Team,26,12,Open,Automation
1309,Sales,Data Error,High,2025-04-05,Process Team,63,12,Closed,Reporting
1310,Operations,Access Issue,High,2025-01-31,DataOps,65,12,Closed,Automation
1311,Operations,Permission Issue,High,2025-01-27,Process Team,68,48,Closed,Reporting
1312,Sales,Access Issue,Low,2025-03-13,IT Support,52,24,Closed,System
1313,Marketing,Permission Issue,Low,2025-04-09,DevOps,66,12,Closed,Reporting
1314,Engineering,Integration Error,Medium,2025-04-12,DevOps,19,12,Closed,Reporting
1315,Compliance,Permission Issue,Critical,2025-03-07,Analytics Team,17,48,Closed,Reporting
1316,Engineering,System Bug,Medium,2025-01-30,DevOps,69,8,Open,Reporting
1317,Finance,Access Issue,Medium,2025-03-31,Process Team,14,24,Closed,System
1318,HR,Permission Issue,Critical,2025-04-12,Process Team,45,48,Closed,Process
1319,Operations,Data Error,Critical,2025-04-23,DevOps,60,48,Closed,Process
1320,Marketing,Permission Issue,Low,2025-03-19,Analytics Team,34,48,Open,Automation
1321,Marketing,Access Issue,Medium,2025-03-01,Analytics Team,24,12,Closed,System
1322,Compliance,Reporting Failure,Low,2025-03-24,Analytics Team,61,48,Closed,Automation
1323,HR,Permission Issue,Critical,2025-04-12,Analytics Team,18,36,Closed,Process
1324,Operations,Reporting Failure,High,2025-01-21,Process Team,62,8,Open,System
1325,Marketing,Reporting Failure,Medium,2025-01-24,DevOps,47,8,Closed,System
1326,Compliance,Permission Issue,Low,2025-01-13,IT Support,26,24,Closed,Automation
1327,HR,Data Error,High,2025-02-01,DataOps,23,24,Open,Process
1328,Sales,Data Error,High,2025-02-24,Analytics Team,42,8,Closed,Process
1329,Customer Support,System Bug,High,2025-03-30,DataOps,9,48,Open,User Access
1330,Engineering,Permission Issue,Critical,2025-01-08,DataOps,31,36,Closed,User Access
1331,Finance,Integration Error,Low,2025-04-26,DataOps,30,12,Closed,User Access
1332,Sales,Reporting Failure,Low,2025-03-27,Process Team,51,12,Closed,Process
1333,Customer Support,System Bug,Critical,2025-04-06,Process Team,5,12,Closed,System
1334,Marketing,System Bug,Critical,2025-02-10,IT Support,62,36,Open,Automation
1335,Operations,Permission Issue,Medium,2025-03-18,Analytics Team,57,48,Closed,Automation
1336,Finance,Integration Error,High,2025-03-17,IT Support,19,36,Open,User Access
1337,Engineering,Data Error,Low,2025-02-23,Process Team,48,36,Open,System
1338,HR,Integration Error,High,2025-03-27,Analytics Team,10,12,Closed,User Access
1339,Engineering,Permission Issue,Medium,2025-03-22,Analytics Team,3,48,Open,Automation
1340,Finance,Data Error,Critical,2025-01-02,Process Team,56,8,Closed,Automation
